t_history,v_ref_history,v_history,acc_history
0.0,0.0,0.0,0.0
0.1,16.0,0.29999999799145416,2.9999999799145414
0.2,16.0,0.5999999977104143,2.999999997189602
0.30000000000000004,15.999999999891305,0.8999999962926246,2.999999985822103
0.4,15.99999999974077,1.1999999893311193,2.9999999303849467
0.5,15.999999999992145,1.4999999753465114,2.9999998601539204
0.6000000000000001,15.999999999814644,1.7999999745046165,2.999999991581051
0.7000000000000001,15.999999999937963,2.0999999723229026,2.9999999781828635
0.8,15.999999999932182,2.3999999708075035,2.99999998484601
0.9,15.999999999945551,2.6999999695088097,2.9999999870130623
1.0,15.999999999945786,2.999999968354759,2.999999988459493
1.1,15.999999999942027,3.299999964976736,2.9999999662197716
1.2000000000000002,15.999999999946354,3.5999999641764204,2.9999999919968445
1.3,15.999999999904581,3.89999994338156,2.9999997920513977
1.4000000000000001,15.999999999598053,4.199999943284389,2.999999999028291
1.5,15.99999999780589,4.499999940456032,2.999999971716427
1.6,15.999999989609513,4.799999937553073,2.999999970970407
1.7000000000000002,15.999999980575446,5.099999937315221,2.9999999976214866
1.8,15.999999980313898,5.399999936155316,2.999999988400944
1.9000000000000001,15.999999710622753,5.699999926610087,2.999999904547714
2.0,15.999999164283636,5.9999999265730315,2.9999999996294378
2.1,15.999992180786311,6.2999999253410754,2.9999999876804395
2.2,15.999977519805995,6.599999924079875,2.9999999873879943
2.3000000000000003,15.999944565270713,6.899999921640956,2.9999999756108053
2.4000000000000004,15.999367142583747,7.199999864594591,2.999999429536345
2.5,15.990315779102112,7.49999985095013,2.999999863555388
2.6,15.968050342089132,7.7999998371691985,2.999999862190691
2.7,15.940450976565497,8.099999829604764,2.9999999243556488
2.8000000000000003,15.909909853090529,8.399999805956709,2.9999997635194404
2.9000000000000004,15.878487796387247,8.699999781515677,2.999999755589684
3.0,15.850211440166113,8.999999732128865,2.9999995061318714
3.1,15.82479066044332,9.299999688490125,2.9999995636126044
3.2,15.800920635204292,9.599999611300952,2.9999992281082655
3.3000000000000003,15.772811387121568,9.89999958901647,2.999999777155196
3.4000000000000004,15.743627425033129,10.199999580205496,2.9999999118902565
3.5,15.729226778994217,10.4999995072517,2.999999270462027
3.6,15.741823312777157,10.799999477397472,2.9999997014577247
3.7,15.799032983560156,11.099999423450996,2.9999994605352356
3.8000000000000003,15.933902527972105,11.399999411745082,2.9999998829408554
3.9000000000000004,15.823137124051968,11.699999387973547,2.999999762284645
4.0,15.416049850950735,11.999999370746897,2.999999827733504
4.1000000000000005,14.851164574886699,12.295322456300967,2.9532308555406956
4.2,14.070260313117911,12.509434354788917,2.1411189848794976
4.3,13.19457413261856,12.609667682789258,1.0023332800034126
4.4,12.359596205879324,12.594859034863987,-0.14808647925271146
4.5,11.54988660924321,12.476043745432758,-1.1881528943122959
4.6000000000000005,10.917594231010595,12.278608558832893,-1.974351865998642
4.7,10.426639715042963,12.028767541520825,-2.498410173120689
4.800000000000001,10.118626477906432,11.755064428982708,-2.737031125381165
4.9,9.77023831683873,11.469006238158475,-2.860581908242338
5.0,9.56541470728564,11.1861301386996,-2.828760994588748
5.1000000000000005,9.380935828743702,10.913730794505474,-2.7239934419412606
5.2,9.280046873043514,10.659723592506605,-2.540072019988685
5.300000000000001,9.170827307748809,10.425991119768147,-2.3373247273845834
5.4,9.06166138941539,10.21125938119474,-2.1473173857340697
5.5,9.014352492499414,10.017702869390137,-1.9355651180460285
5.6000000000000005,8.95426155158238,9.844201202819926,-1.7350166657021049
5.7,8.887979040119399,9.688760123515603,-1.5544107930432318
5.800000000000001,8.822902882904677,9.54855084448785,-1.4020927902775213
5.9,8.812996870864806,9.424888736284428,-1.2366210820342332
6.0,8.793741636051871,9.31677328367857,-1.081154526058583
6.1000000000000005,8.76832387203103,9.22251551527118,-0.9425776840738962
6.2,8.74192184997764,9.139442287923817,-0.8307322734736289
6.300000000000001,8.764373367322214,9.068792702183398,-0.7064958574041924
6.4,8.776016200122154,9.010852948059494,-0.5793975412390324
6.5,8.730687695922802,8.960351615005465,-0.5050133305402937
6.6000000000000005,8.738142143289195,8.917961030648925,-0.42390584356539307
6.7,8.741520745296654,8.883258820838925,-0.3470220980999983
6.800000000000001,8.738317856396192,8.855229792754857,-0.2802902808406884
6.9,8.73029804534926,8.832778276895203,-0.22451515859654592
7.0,8.719328323963081,8.814949988496261,-0.17828288398941083
7.1000000000000005,8.70740297662934,8.801019061282567,-0.13930927213694133
7.2,8.696750225678837,8.790520309224846,-0.10498752057721106
7.300000000000001,8.689932601423674,8.78198745408861,-0.08532855136236606
7.4,8.733585360923438,8.779057173901418,-0.029302801871921247
7.5,8.730485989269779,8.779873209634944,0.008160357335270874
7.6000000000000005,8.738574865804116,8.784026886283412,0.04153676648466842
7.7,8.767073839555684,8.792297284469083,0.08270398185671013
