time,x_coords,y_coords,angle,psi,beta,speed
0.0,72.0,0.0,0.0,0.0,0.0,0.0
0.25046816479400746,72.00494467592593,0.0,0.0,0.0,0.0,0.3250922067901235
0.5009363295880149,72.02257154500172,0.0,0.0,0.0,0.0,0.6290474249971125
0.7514044943820224,72.0520560307958,0.0,0.0,0.0,0.0,0.9132399486736448
1.0018726591760299,72.09262716955091,0.0,0.0,0.0,0.0,1.1789547174151254
1.2523408239700373,72.14356412437164,0.0,0.0,0.0,0.0,1.4273931260472268
1.5028089887640448,72.204192926054,0.0,0.0,0.0,0.0,1.6596784565766012
1.7532771535580522,72.2738834258212,0.0,0.0,0.0,0.0,1.876860956964622
2.0037453183520597,72.35204644618766,0.0,0.0,0.0,0.0,2.079922589687175
2.254213483146067,72.43813111706967,0.0,0.0,0.0,0.0,2.2697814715504916
2.5046816479400746,72.53162238509772,0.0,0.0,0.0,0.0,2.4472960248370783
2.755149812734082,72.6320386848696,0.0,0.0,0.0,0.0,2.613268858550605
3.0056179775280896,72.7438744375409,0.0,0.0,0.0,0.0,3.093542604098427
3.256086142322097,72.8744461804286,0.0,0.0,0.0,0.0,3.54258969928555
3.5065543071161045,73.02253572865159,0.0,0.0,0.0,0.0,3.962440452247257
3.757022471910112,73.18700410181089,0.0,0.0,0.0,0.0,4.3549931636484
4.007490636704119,73.36678637423789,0.0,0.0,0.0,0.0,4.722022709603375
4.257958801498127,73.5608868600711,0.0,0.0,0.0,0.0,5.065188566548014
4.508426966292134,73.7683746113918,0.0,0.0,0.0,0.0,5.386042314346821
4.758895131086142,73.98837920906396,0.0,0.0,0.0,0.0,5.686034651559869
5.009363295880149,74.22008682724709,0.0,0.0,0.0,0.0,5.966521954587976
5.259831460674157,74.46273655378837,0.0,0.0,0.0,0.0,6.2287724103524775
5.510299625468164,74.7156169498572,0.0,0.0,0.0,0.0,6.473971750237739
5.760767790262172,74.97806283326686,0.0,0.0,0.0,0.0,6.703228611221645
6.011235955056179,75.2494522709396,0.0,0.0,0.0,0.0,6.917579548433745
6.261704119850187,75.52920376691705,0.0,0.0,0.0,0.0,7.117993721804681
6.512172284644194,75.81677363320166,0.0,0.0,0.0,0.0,7.305377277996982
6.7626404494382015,76.11165353154215,0.0,0.0,0.0,0.0,7.480577447429536
7.013108614232209,76.4133681750479,0.0,0.0,0.0,0.0,7.644386374919924
7.2635767790262165,76.72641785516717,0.0,0.0,0.0,0.0,8.12263690805448
7.514044943820224,77.05812459783226,0.0,0.0,0.0,0.0,8.569792336945982
7.764513108614231,77.40727534991615,0.0,0.0,0.0,0.0,8.98787441680618
8.014981273408239,77.77273592911536,0.0,0.0,0.0,0.0,9.378773451474148
8.265449438202246,78.15344589589206,0.0,0.0,0.0,0.0,9.744256840179647
8.515917602996254,78.5484137588343,0.0,0.0,0.0,0.0,10.085977068609266
8.766385767790261,78.95671249175633,0.0,0.0,0.0,0.0,10.405479180405882
9.016853932584269,79.37747534227013,0.0,0.0,0.0,0.0,10.704207762882886
9.267322097378276,79.80989191287698,0.0,0.0,0.0,0.0,10.983513478538145
9.517790262172284,80.2532044968604,0.0,0.0,0.0,0.0,11.244659171899107
9.768258426966291,80.70670465241363,0.0,0.0,0.0,0.0,11.48882557931038
10.018726591760299,81.16972999951199,0.0,0.0,0.0,0.0,11.717116667479782
