time,x_coords,y_coords,angle,psi,beta,speed
0.0,72.0,0.0,0.0,0.0,0.0,0.0
0.5004703668861712,72.00083333333333,0.0,0.0,0.0,0.0,0.1652777777777778
1.0009407337723424,72.00494467592593,0.0,0.0,0.0,0.0,0.3250922067901235
1.5014111006585136,72.0122256713606,0.0,0.0,0.0,0.0,0.4796238810656722
2.0018814675446848,72.02257154500172,0.0,0.0,0.0,0.0,0.6290474249971125
2.502351834430856,72.0358809855975,0.0,0.0,0.0,0.0,0.7735316906708191
3.002822201317027,72.0520560307958,0.0,0.0,0.0,0.0,0.9132399486736448
3.5032925682031983,72.07100195644449,0.0,0.0,0.0,0.0,1.0483300725924882
4.0037629350893695,72.09262716955091,0.0,0.0,0.0,0.0,1.1789547174151254
4.504233301975541,72.11684310477963,0.0,0.0,0.0,0.0,1.3052614920339032
5.004703668861712,72.14356412437164,0.0,0.0,0.0,0.0,1.4273931260472268
5.505174035747883,72.17270742137157,0.0,0.0,0.0,0.0,1.5454876310473324
6.005644402634054,72.204192926054,0.0,0.0,0.0,0.0,1.6596784565766012
6.5061147695202255,72.23794321544277,0.0,0.0,0.0,0.0,1.7700946409286524
7.006585136406397,72.2738834258212,0.0,0.0,0.0,0.0,1.876860956964622
7.507055503292568,72.31194116813433,0.0,0.0,0.0,0.0,1.9800980531094026
8.007525870178739,72.35204644618766,0.0,0.0,0.0,0.0,2.079922589687175
8.50799623706491,72.39413157754979,0.0,0.0,0.0,0.0,2.176447370750293
9.008466603951081,72.43813111706967,0.0,0.0,0.0,0.0,2.2697814715504916
9.508936970837253,72.48398178292209,0.0,0.0,0.0,0.0,2.3600303617964613
10.009407337723424,72.53162238509772,0.0,0.0,0.0,0.0,2.4472960248370783
10.509877704609595,72.58099375625699,0.0,0.0,0.0,0.0,2.5316770729049636
11.010348071495766,72.63287201820293,0.0,0.0,0.0,0.0,2.778546636328383
11.510818438381937,72.68964652649011,0.0,0.0,0.0,0.0,3.017255789183084
12.011288805268109,72.75115543297558,0.0,0.0,0.0,0.0,3.248074278373976
12.51175917215428,72.81724223949665,0.0,0.0,0.0,0.0,3.4712629341721697
13.012229539040451,72.8877556210244,0.0,0.0,0.0,0.0,3.6870739649592563
13.512699905926622,72.96254925466275,0.0,0.0,0.0,0.0,3.8957512422286587
14.013170272812793,73.04148165430028,0.0,0.0,0.0,0.0,4.0975305761661005
14.513640639698965,73.12441601072759,0.0,0.0,0.0,0.0,4.29263998212061
15.014111006585136,73.21122003703965,0.0,0.0,0.0,0.0,4.481299938267179
