time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2999999985473498,0.5999999972135048,0.8999999957015679,1.1999999943625372,1.4999999930247434,1.7999999914969038,2.099999990137886,2.399999988767016,2.699999987217687,2.9999999858224453,3.299999984418397,3.599999982839732,3.899999981413254,4.199999979973838,4.499999978352083,4.799999976877143,5.099999975378742,5.39999997368672,5.699999972119926,5.99999997050443,6.299999968670371,6.5999999669071565,6.899999965028373,7.19999996282353,7.499999960492816,7.799999954588885,8.07067447799516,8.27963590419161,8.421445159831865,8.513671031771908
0.2,0.5999999964060057,0.8999999954291431,1.1999999943210917,1.4999999933395247,1.799999992358217,2.099999991238411,2.3999999902423723,2.6999999892379964,2.9999999881020956,3.299999987079993,3.599999986050902,3.899999984892979,4.199999983846645,4.499999982790353,4.799999981600216,5.099999980516913,5.399999979415606,5.699999978171946,5.999999977018426,6.299999975828313,6.599999974477289,6.899999973175763,7.19999997178556,7.499999970148544,7.799999968423681,8.09999996116623,8.365865323458102,8.569588939310556,8.70744959200209,8.797107452593266
0.30000000000000004,0.899999989308563,1.1999999871567515,1.4999999847175491,1.7999999825579722,2.099999980396515,2.399999977930527,2.6999999757358837,2.9999999735233662,3.2999999710210077,3.5999999687708546,3.8999999665048164,4.19999996395236,4.499999961646875,4.799999959318245,5.099999956692003,5.399999954300562,5.699999951867073,5.999999949116204,6.299999946561202,6.599999943922676,6.899999940924408,7.199999938028784,7.499999934923543,7.799999931245599,8.099999927298965,8.399999897109124,8.66105130646313,8.85953340668081,8.993443501759568,9.080532148231045
0.4,1.1999999893023219,1.4999999893004687,1.7999999892985814,2.0999999892966743,2.3999999892947392,2.6999999892927677,2.9999999892907527,3.2999999892886893,3.5999999892865717,3.899999989284395,4.199999989282153,4.499999989279838,4.79999998927744,5.099999989274947,5.39999998927234,5.699999989269603,5.999999989266708,6.299999989263623,6.599999989260297,6.899999989256668,7.1999999892526265,7.499999989248009,7.799999989242528,8.0999999892356,8.399999989225435,8.699999988902821,8.956255842319921,9.149510785873566,9.279477828139804,9.364001870050352
0.5,1.4999999893000104,1.7999999892993956,2.0999999892987646,2.3999999892981254,2.6999999892974755,2.999999989296809,3.299999989296124,3.5999999892954158,3.899999989294684,4.199999989293927,4.499999989293139,4.79999998929232,5.099999989291464,5.399999989290568,5.699999989289622,5.999999989288618,6.299999989287547,6.599999989286391,6.89999998928513,7.19999998928373,7.499999989282143,7.799999989280295,8.099999989278041,8.399999989275072,8.699999989270209,8.996084726223073,9.245704942206691,9.432875463315305,9.558474129164281,9.64015719887666
0.6000000000000001,1.799999988493111,2.0999999883597873,2.3999999882257823,2.699999988091336,2.9999999879563424,3.2999999878206325,3.5999999876840767,3.8999999875465647,4.199999987407989,4.499999987268238,4.79999998712718,5.099999986984665,5.399999986840512,5.699999986694496,5.99999998654634,6.299999986395679,6.599999986242033,6.89999998608475,7.199999985922909,7.49999998575515,7.799999985579354,8.099999985391985,8.399999985186723,8.699999984949844,8.999999984591241,9.289343434707758,9.531036223860768,9.711532036921417,9.832470253588713,9.91112253969888
0.7000000000000001,2.0999999872676223,2.399999987108651,2.6999999869282787,2.9999999867683624,3.2999999866081393,3.599999986425675,3.899999986263272,4.199999986099605,4.499999985914196,4.799999985747661,5.099999985579658,5.39999998539019,5.699999985218727,5.99999998504513,6.299999984849402,6.599999984670182,6.899999984487204,7.199999984280542,7.49999998408735,7.799999983886887,8.099999983658094,8.399999983433972,8.699999983188654,8.999999982890618,9.29999998239041,9.582864225281732,9.81687397787705,9.990846512258516,10.107201096684824,10.182872367584165
0.8,2.39999998713986,2.699999986145549,2.999999986022046,3.299999986150384,3.5999999860258387,3.899999985900649,4.199999985979201,4.4999999858524955,4.799999985724884,5.09999998575775,5.399999985627844,5.699999985496475,5.999999985486687,6.299999985351867,6.599999985215646,6.899999985178503,7.199999985036845,7.499999984892002,7.799999984817891,8.099999984662974,8.399999984500075,8.699999984378168,8.999999984186825,9.299999983988444,9.599999983067265,9.876376746724928,10.102695938074488,10.270140819996211,10.381909787357138,10.454598783956069
0.9,2.6999999869259286,2.9999999867112974,3.2999999851596957,3.59999998494343,3.899999984726225,4.199999984862014,4.49999998464259,4.7999999844218575,5.099999984491852,5.399999984268143,5.699999984042721,5.999999984052176,6.299999983822431,6.599999983589898,6.899999983540552,7.199999983300659,7.499999983055806,7.799999982946091,8.099999982686983,8.399999982416837,8.699999982231422,8.999999981921896,9.299999981573412,9.5999999812264,9.899999973610267,10.169925946330846,10.388588888125396,10.549527586932282,10.656721925966057,10.726435792182247
